index	confirmed	recovered	deaths
1	39		0
2	56		0
3	74		0
4	97		0
5	119		0
6	146		1
7	195		1
8	259		1
9	301		1
10	359		1
11	358		2
12	73		1
13	103		4
14	103		4
15	186		7
16	231		7
17	271		8
18	424		10
19	424		10
20	472		13
21	617		13
22	617		13
23	0		0
24	0		0
25	0		0
26	0		0
27	0		0
28	0		0
29	0		0
30	0		1
31	0		1
32	0		1
33	0		1
34	2		0
35	2		0
36	8		0
37	9		0
38	9		0
39	10		0
40	10		0
41	13		0
42	13		0
43	13		0
44	13		0
45	4		0
46	7		0
47	8		0
48	15		0
49	17		0
50	17		0
51	18		0
52	20		0
53	20		0
54	21		0
55	35		0
56	2		0
57	6		0
58	8		0
59	11		0
60	11		0
61	11		0
62	17		0
63	17		0
64	17		0
65	18		0
66	18		0
67	1		0
68	1		0
69	3		0
70	3		0
71	3		0
72	4		0
73	6		0
74	9		0
75	24		0
76	35		0
77	35		0
78	0		0
79	0		0
80	0		0
81	0		0
82	0		0
83	0		0
84	0		0
85	0		0
86	0		0
87	0		0
88	0		0
89	0		0
90	5		0
91	7		0
92	12		0
93	14		0
94	15		0
95	21		0
96	28		0
97	41		0
98	51		0
99	68		0
100	0		0
101	0		0
102	0		0
103	0		0
104	0		0
105	0		0
106	0		0
107	0		0
108	0		0
109	0		0
110	0		0
111	104		0
112	177		0
113	185		1
114	221		1
115	257		1
116	308		2
117	377		3
118	425		5
119	503		6
120	588		7
121	688		8
122	1		0
123	1		0
124	1		0
125	1		0
126	2		0
127	2		0
128	2		0
129	3		0
130	3		0
131	3		0
132	5		0
133	24		0
134	50		0
135	74		0
136	94		0
137	121		1
138	139		1
139	181		5
140	219		4
141	628		4
142	1013		4
143	1342		6
144	0		0
145	0		0
146	0		0
147	0		0
148	0		0
149	0		0
150	0		0
151	0		0
152	0		0
153	0		0
154	0		0
155	2		0
156	7		0
157	7		0
158	8		0
159	16		0
160	20		0
161	26		0
162	52		0
163	66		0
164	72		0
165	72		0
166	0		0
167	0		0
168	0		0
169	0		0
170	0		0
171	0		0
172	0		0
173	0		0
174	0		0
175	0		0
176	0		0
