index	confirmed	recovered	deaths
1	169218	135322	4669
2	170132	137969	4692
3	171121	141380	4711
4	172114	144598	4729
5	173036	146839	4746
6	174023	147860	4763
7	175218	149102	4778
8	176677	150087	4792
9	178239	151417	4807
10	179831	152364	4825
11	181298	153379	4842
12	182727	154640	4861
13	184031	156022	4882
14	185245	157516	4905
15	186493	158828	4927
16	187685	160240	4950
17	188897	161533	4974
18	190165	162848	5001
19	191657	164234	5025
20	193115	165706	5046
21	194511	167198	5065
22	195883	169182	5082
23	197239	170595	5097
24	198613	171809	5115
25	199906	173111	5131
26	201098	175422	5150
27	202284	176965	5167
28	203456	178278	5186
29	204610	179492	5206
30	205758	180680	5225
31	206844	182995	5241
32	207897	185292	5260
33	208938	187511	5282
34	209962	190390	5300
35	210965	191883	5323
36	211981	193217	5344
37	212993	194515	5363
38	214001	195671	5382
39	214993	196720	5402
40	215940	197733	5419
41	216873	198820	5440
42	217799	199834	5458
43	218717	201013	5475
44	219641	202010	5491
45	220572	203002	5508
46	221500	204011	5526
47	222402	205214	5545
48	223315	206365	5563
49	224252	207374	5580
50	225173	208477	5596
51	226100	209487	5613
52	227019	210469	5630
53	227982	211561	5645
54	228924	212557	5659
55	229891	213539	5674
56	230873	214535	5691
57	231869	215516	5710
58	232856	216494	5728
59	233851	217497	5747
60	234934	218491	5765
61	236112	219506	5784
62	237265	220546	5798
